"","STATEFP","twoplus","totaln","prop","state","nfacilities","STATENS","STATE_NAME","population","med_hh_income","med_age","percent_college","multiple","aian","white","black","asian","nat_hw_pac","other","hisp_lat"
"1",1,123,381,0.322834645669291,"AL",4,1779775,"Alabama",5024279,46472,39.2,25.5227886573844,256953,33625,3220452,1296162,76660,2984,137443,264047
"2",2,26,32,0.8125,"AK",NA,1785533,"Alaska",733391,76114,34.6,28.7988437601882,89524,111575,435392,21898,44032,12698,18272,49824
"3",4,200,402,0.497512437810945,"AZ",1,1779777,"Arizona",7151502,53510,37.9,29.3565215324146,996806,319512,4322337,339150,257430,16397,899870,2192253
"4",5,231,502,0.460159362549801,"AR",11,68085,"Arkansas",3011524,43813,38.3,23.4074122758537,213575,27177,2114512,453783,51839,14533,136105,256847
"5",6,827,2589,0.319428350714562,"CA",17,1779778,"California",39538223,67169,36.7,33.6450209868912,5760235,631016,16296122,2237044,6085947,157263,8370596,15579652
"6",8,107,433,0.247113163972286,"CO",NA,1779779,"Colorado",5773714,65458,36.9,41.2001304006104,707670,74129,4082927,234828,199827,10287,464046,1263390
"7",9,73,134,0.544776119402985,"CT",1,1779780,"Connecticut",3605944,73781,41.1,38.6793693616387,332904,16051,2395128,388675,172455,1598,299133,623293
"8",10,12,28,0.428571428571429,"DE",NA,1779781,"Delaware",989948,63036,41,31.4809866911291,76518,5148,597763,218899,42699,412,48509,104290
"9",11,39,194,0.201030927835052,"DC",NA,1702382,"District of Columbia",689545,77649,34.1,57.3212646629493,56077,3193,273194,285810,33545,432,37294,77652
"10",12,650,1134,0.573192239858907,"FL",6,294478,"Florida",21538187,50883,42.2,29.6567210892388,3552072,94795,12422961,3246381,643682,14014,1564282,5697240
"11",13,217,1020,0.212745098039216,"GA",10,1705317,"Georgia",10711908,52977,36.9,30.9087871768465,743908,50618,5555483,3320513,479028,7299,555059,1123457
"12",15,0,11,0,"HI",NA,1779782,"Hawaii",1455271,74923,39.4,32.9423178691127,368129,4370,333261,23417,541902,157445,26747,138923
"13",16,16,63,0.253968253968254,"ID",1,1779783,"Idaho",1839106,50985,36.6,26.7729099432626,153205,25621,1510360,15726,26836,3726,103632,239407
"14",17,290,705,0.411347517730496,"IL",7,1779784,"Illinois",12812508,61229,38.3,34.4296011844186,1144984,96498,7868227,1808271,754878,4501,1135149,2337410
"15",18,210,825,0.254545454545455,"IN",15,448508,"Indiana",6785528,52182,37.8,26.8178802101406,436726,26086,5241795,648513,167959,3137,261312,554191
"16",19,207,479,0.432150313152401,"IA",2,1779785,"Iowa",3190369,56570,38.3,28.9324894252807,179283,14486,2694521,131972,75629,5758,88720,215986
"17",20,53,175,0.302857142857143,"KS",3,481813,"Kansas",2937880,55477,36.9,33.7480992665899,280507,30995,2222462,168809,86273,3412,145422,382603
"18",21,179,406,0.440886699507389,"KY",1,1779786,"Kentucky",4505836,46535,39,23.9669845804158,244840,12801,3711254,362417,74426,3681,96417,207854
"19",22,159,438,0.363013698630137,"LA",8,1629543,"Louisiana",4657757,46710,37.2,23.7967654794751,273377,31657,2657652,1464023,86438,1911,142699,322549
"20",23,37,76,0.486842105263158,"ME",NA,1779787,"Maine",1362359,53024,44.8,32.0669109020932,64710,7885,1237041,25752,16798,443,9730,26609
"21",24,305,855,0.35672514619883,"MD",1,1714934,"Maryland",6177224,78916,38.8,39.6529996611962,481901,31845,3007874,1820472,420944,3247,410941,729745
"22",25,190,390,0.487179487179487,"MA",4,606926,"Massachusetts",7029917,74167,39.6,43.4089863514663,608867,24018,4896037,494029,507934,2301,496731,887685
"23",26,384,1271,0.302124311565696,"MI",12,1779789,"Michigan",10077331,52668,39.8,29.1167874755657,635315,61261,7444974,1376579,334300,3051,221851,564422
"24",27,163,335,0.486567164179104,"MN",1,662849,"Minnesota",5706494,65699,38.1,36.0501861097349,345721,68641,4423146,398434,299190,2918,168444,345640
"25",28,169,1007,0.167825223435948,"MS",5,1779790,"Mississippi",2961279,42009,37.7,21.8694448796815,110732,16450,1658893,1084481,32709,1154,56860,105220
"26",29,315,783,0.402298850574713,"MO",12,1779791,"Missouri",6154913,51542,38.7,29.0544361518213,413171,30518,4740335,699840,133377,9730,127942,303068
"27",30,30,31,0.967741935483871,"MT",NA,767982,"Montana",1084225,50801,40.1,32.3100712207013,71275,67612,916524,5484,8300,941,14089,45199
"28",31,66,331,0.199395770392749,"NE",2,1779792,"Nebraska",1961504,56675,36.6,31.6679557896977,144163,23102,1538052,96535,52951,1534,105167,234715
"29",32,83,228,0.364035087719298,"NV",2,1779793,"Nevada",3104614,55434,38.2,24.8781007958588,434009,43932,1588463,304739,272703,25011,435757,890257
"30",33,30,95,0.31578947368421,"NH",1,1779794,"New Hampshire",1377529,71305,43,36.9405170119154,77742,3031,1216203,20127,35871,453,24102,59454
"31",34,225,506,0.444664031620553,"NJ",8,1779795,"New Jersey",9288994,76475,40,39.7255899314432,903494,51186,5112280,1219770,950090,3533,1048641,2002575
"32",35,21,34,0.61764705882353,"NM",1,897535,"New Mexico",2117522,46718,38.1,27.0576187139546,422246,212241,1078937,45904,37469,2093,318632,1010811
"33",36,358,923,0.387865655471289,"NY",6,1779796,"New York",20201249,62765,39,36.0329530171624,1767463,149690,11143349,2986172,1933127,10815,2210633,3948032
"34",37,490,1386,0.353535353535354,"NC",13,1027616,"North Carolina",10439388,50320,38.9,31.3348738447059,711721,130032,6488459,2140217,343051,8518,617390,1118596
"35",38,12,33,0.363636363636364,"ND",1,1779797,"North Dakota",779094,61285,35.2,30.7396189585081,41940,38914,645938,26783,13213,924,11382,33412
"36",39,378,1042,0.362763915547025,"OH",23,1085497,"Ohio",11799448,52407,39.5,27.9551760016588,681372,30720,9080688,1478781,298509,5034,224344,521308
"37",40,30,197,0.152284263959391,"OK",4,1102857,"Oklahoma",3959353,49767,36.7,25.5386801958233,508158,332791,2514885,289961,90949,8608,214001,471931
"38",41,195,385,0.506493506493506,"OR",5,1155107,"Oregon",4237256,56119,39.5,33.7246203719502,443339,62993,3169096,82655,194538,19204,265431,588757
"39",42,356,958,0.37160751565762,"PA",13,1779798,"Pennsylvania",13002700,56951,40.9,31.4394116088644,774484,31052,9750687,1423169,510501,4276,508531,1049615
"40",44,10,13,0.769230769230769,"RI",1,1219835,"Rhode Island",1097379,61043,40,33.4510678196776,101794,7385,782920,62168,38961,536,103615,182101
"41",45,344,1130,0.304424778761062,"SC",7,1779799,"South Carolina",5118425,48781,39.7,28.001792179743,298376,24303,3243442,1280531,90466,3431,177876,352838
"42",46,41,106,0.386792452830189,"SD",NA,1785534,"South Dakota",886667,54126,37.2,28.1499376043191,46665,77748,715336,17842,13476,543,15057,38741
"43",47,142,487,0.291581108829569,"TN",16,1325873,"Tennessee",6910840,48708,38.8,27.333003084046,412898,28044,4990938,1092948,135615,4115,246282,479187
"44",48,547,1830,0.298907103825137,"TX",28,1779801,"Texas",29145505,57051,34.8,29.5960471523326,5133738,278948,14609365,3552997,1585480,33611,3951366,11441717
"45",49,116,232,0.5,"UT",4,1455989,"Utah",3271616,65325,31.1,34.6157572241364,279013,41644,2573413,40058,80438,36930,220120,492912
"46",50,10,22,0.454545454545455,"VT",NA,1779802,"Vermont",643077,57808,42.8,38.2833219886766,37026,2289,577751,9034,11549,181,5247,15504
"47",51,321,832,0.385817307692308,"VA",4,1779803,"Virginia",8631393,68766,38.4,38.7113764986665,705707,40007,5208856,1607581,615436,7156,446650,908749
"48",53,221,408,0.541666666666667,"WA",4,1779804,"Washington",7705281,66174,37.8,35.4984390337219,836659,121468,5130920,307565,730596,64933,513140,1059213
"49",54,6,38,0.157894736842105,"WV",2,1779805,"West Virginia",1793716,44061,42.7,20.2021338961191,84944,3706,1610749,65813,15109,476,12919,34827
"50",55,122,343,0.355685131195335,"WI",9,1779806,"Wisconsin",5893718,56759,39.6,30.3804906787906,359534,60428,4737545,376256,175702,2199,182054,447290
"51",56,0,45,0,"WY",NA,1779807,"Wyoming",576851,60938,38,27.623678101625,43473,13898,488374,5232,5212,579,20083,59046
"52",NA,NA,NA,NA,NA,NA,NA,"Puerto Rico",3285874,19775,42.4,25.7082999989333,1635791,17870,560592,228711,4001,593,838316,3249043
